Usuario,Projeto,Bug,Merge,DiaDaSemana,TamanhoDescricao
5,0,False,False,Wednesday,0
0,0,False,True,Wednesday,0
5,0,False,False,Wednesday,0
0,0,False,False,Wednesday,0
0,0,False,False,Wednesday,0
5,0,False,False,Wednesday,0
5,0,False,False,Wednesday,0
5,0,False,False,Wednesday,0
5,0,False,False,Wednesday,0
0,0,False,False,Wednesday,0
5,0,False,False,Wednesday,0
0,0,False,False,Wednesday,0
1,0,False,False,Wednesday,40
1,0,False,False,Wednesday,0
6,0,False,False,Wednesday,0
7,0,False,False,Wednesday,13
7,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
7,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
7,0,False,False,Wednesday,0
5,0,False,True,Wednesday,0
1,0,False,False,Wednesday,80
5,0,False,False,Wednesday,0
7,0,False,False,Wednesday,80
1,0,False,True,Wednesday,0
5,0,False,False,Wednesday,142
6,0,False,True,Wednesday,0
5,0,False,False,Wednesday,0
5,0,True,False,Wednesday,146
1,0,False,True,Wednesday,0
1,0,False,False,Wednesday,37
5,0,False,False,Wednesday,0
5,0,False,False,Wednesday,0
5,0,False,False,Wednesday,0
5,0,False,False,Wednesday,0
0,0,False,False,Wednesday,0
7,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
0,0,False,False,Wednesday,0
7,0,False,False,Wednesday,0
7,0,False,False,Wednesday,0
7,0,True,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,105
5,0,False,False,Wednesday,0
1,0,False,True,Wednesday,0
7,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
7,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
7,0,False,True,Wednesday,0
1,0,False,False,Wednesday,162
1,0,False,True,Wednesday,0
6,0,False,False,Wednesday,0
7,0,False,False,Wednesday,84
7,0,False,False,Wednesday,99
6,0,False,False,Wednesday,0
1,1,False,False,Wednesday,10
7,0,False,True,Wednesday,0
1,0,False,False,Wednesday,105
1,1,False,False,Wednesday,10
1,0,False,False,Wednesday,0
7,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,True,Wednesday,0
7,0,False,False,Wednesday,82
7,0,True,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,119
6,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
7,0,False,False,Wednesday,0
1,0,False,False,Wednesday,55
7,0,False,False,Wednesday,0
1,0,False,False,Wednesday,27
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,47
7,0,False,False,Wednesday,0
7,0,False,True,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,True,Wednesday,0
6,0,False,False,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
7,0,False,True,Wednesday,0
7,0,False,True,Wednesday,0
1,0,False,False,Wednesday,48
7,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
7,0,False,False,Wednesday,139
1,0,False,False,Wednesday,0
6,0,True,False,Wednesday,0
1,0,False,True,Wednesday,0
6,0,True,False,Wednesday,0
6,0,True,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,True,False,Wednesday,0
6,0,False,True,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,False,Wednesday,0
6,0,True,False,Wednesday,0
1,0,False,True,Wednesday,0
6,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,True,Wednesday,0
6,0,False,False,Wednesday,0
6,0,False,False,Wednesday,0
6,0,False,False,Wednesday,0
6,0,False,True,Wednesday,0
1,0,False,False,Wednesday,0
6,0,False,False,Wednesday,0
6,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
6,0,False,False,Wednesday,0
1,0,False,False,Wednesday,52
1,0,False,False,Wednesday,51
1,0,False,False,Wednesday,0
1,1,False,False,Wednesday,11
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,20
1,0,False,False,Wednesday,87
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
8,2,False,True,Monday,0
8,2,True,False,Wednesday,0
8,2,True,False,Tuesday,0
8,2,True,False,Friday,0
8,2,False,False,Wednesday,0
8,2,False,False,Monday,0
8,2,False,False,Thursday,0
8,2,False,False,Thursday,0
8,2,True,False,Monday,0
8,2,True,False,Thursday,0
8,2,False,True,Tuesday,0
9,2,True,False,Monday,0
10,2,False,False,Saturday,0
8,2,True,False,Thursday,0
8,2,True,False,Monday,0
10,2,False,False,Friday,0
8,2,True,False,Wednesday,0
8,2,True,False,Tuesday,0
8,2,False,False,Tuesday,0
8,2,False,False,Sunday,0
8,2,False,False,Friday,24
8,2,True,False,Friday,0
8,2,True,False,Thursday,0
9,2,True,False,Tuesday,26
8,2,False,True,Monday,0
9,2,True,False,Thursday,0
8,2,True,False,Monday,0
8,2,True,False,Wednesday,0
8,2,True,False,Wednesday,0
10,2,False,False,Friday,0
9,2,True,False,Thursday,24
9,2,False,True,Thursday,0
8,2,False,False,Monday,0
8,2,False,True,Friday,0
9,2,True,False,Thursday,0
10,2,False,False,Tuesday,0
9,2,False,False,Friday,0
9,2,False,False,Friday,0
9,2,False,False,Tuesday,0
9,2,False,False,Friday,0
9,2,True,False,Wednesday,0
8,2,False,True,Monday,0
1,2,False,False,Thursday,0
9,2,True,False,Thursday,26
9,2,False,False,Thursday,0
9,2,True,False,Thursday,0
9,2,False,False,Tuesday,0
8,2,False,True,Tuesday,0
9,2,True,False,Friday,0
9,2,False,False,Wednesday,0
9,2,True,False,Tuesday,0
8,2,True,False,Tuesday,0
9,2,True,False,Monday,0
9,2,False,True,Monday,0
9,2,True,False,Monday,0
9,2,False,False,Tuesday,0
8,2,True,False,Monday,31
8,2,True,False,Sunday,0
9,2,False,False,Thursday,0
8,2,True,False,Friday,0
8,2,True,False,Thursday,0
8,2,True,False,Wednesday,0
8,2,True,False,Tuesday,0
8,2,False,True,Monday,0
8,2,False,True,Thursday,0
8,2,False,True,Wednesday,0
8,2,False,True,Tuesday,0
8,2,False,True,Sunday,0
8,2,False,True,Thursday,0
8,2,False,True,Thursday,0
8,2,False,True,Monday,0
9,2,False,False,Tuesday,34
8,2,False,True,Friday,0
10,2,False,True,Thursday,0
8,2,False,True,Thursday,0
8,2,False,True,Monday,0
10,2,False,False,Friday,28
8,2,False,True,Friday,0
8,2,False,True,Friday,0
8,2,False,True,Tuesday,0
8,2,False,True,Monday,0
10,2,False,False,Friday,28
10,2,False,False,Thursday,0
10,2,False,False,Thursday,28
8,2,False,True,Tuesday,0
8,2,False,False,Tuesday,28
8,2,False,True,Monday,0
8,2,False,True,Friday,0
8,2,False,True,Tuesday,0
10,2,False,True,Wednesday,0
10,2,False,False,Wednesday,28
8,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
10,2,False,False,Wednesday,0
10,2,False,False,Wednesday,0
10,2,False,False,Wednesday,28
8,2,True,False,Wednesday,0
10,2,False,False,Wednesday,31
8,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
10,2,False,False,Wednesday,0
10,2,False,False,Wednesday,0
10,2,False,False,Wednesday,28
10,2,False,False,Wednesday,0
8,2,True,False,Wednesday,28
8,2,True,False,Wednesday,31
8,2,True,False,Wednesday,28
8,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
1,2,False,True,Wednesday,0
1,2,False,True,Wednesday,0
8,2,True,False,Wednesday,28
8,2,True,False,Wednesday,28
8,2,True,False,Wednesday,28
8,2,True,False,Wednesday,28
8,2,True,False,Wednesday,28
8,2,True,False,Wednesday,0
8,2,False,True,Wednesday,0
8,2,True,False,Wednesday,28
8,2,True,False,Wednesday,28
8,2,True,False,Wednesday,28
8,2,True,False,Wednesday,35
8,2,True,False,Wednesday,28
8,2,True,False,Wednesday,28
8,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
8,2,True,False,Wednesday,35
4,2,False,True,Wednesday,0
8,2,True,False,Wednesday,0
8,2,True,False,Wednesday,0
8,2,True,False,Wednesday,35
8,2,True,False,Wednesday,35
8,2,True,False,Wednesday,0
8,2,True,False,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
8,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
1,2,False,True,Wednesday,0
1,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
1,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
1,2,False,True,Wednesday,0
1,2,False,True,Wednesday,0
10,2,False,False,Wednesday,69
10,2,False,False,Wednesday,0
1,2,False,True,Wednesday,0
8,2,False,False,Wednesday,0
1,2,False,False,Wednesday,191
1,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
1,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
8,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
8,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,True,Wednesday,0
8,2,False,False,Wednesday,37
8,2,False,False,Wednesday,0
8,2,False,False,Wednesday,0
1,2,False,False,Wednesday,0
1,2,False,False,Wednesday,0
1,2,False,True,Wednesday,0
8,2,False,True,Wednesday,0
4,2,False,True,Wednesday,0
10,2,False,False,Wednesday,148
1,2,False,False,Wednesday,34
8,2,False,True,Wednesday,0
1,2,False,False,Wednesday,34
10,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,True,Wednesday,0
10,2,False,True,Wednesday,0
8,2,True,False,Wednesday,0
8,2,False,False,Wednesday,0
4,2,False,True,Wednesday,0
8,2,False,False,Wednesday,0
10,2,False,False,Wednesday,0
4,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
11,2,False,False,Wednesday,0
11,2,False,False,Wednesday,0
11,2,False,False,Wednesday,0
11,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,10
4,2,False,False,Wednesday,0
4,2,False,False,Wednesday,0
12,2,False,True,Wednesday,0
4,2,False,False,Wednesday,0
12,2,False,True,Wednesday,0
12,2,False,True,Wednesday,0
